# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Standard Edition
# File: /home/VincNL/Downloads/DCC/DE10_Standard_DCC.csv
# Generated on: Thu Sep  8 14:57:58 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
SW[4],Unknown,PIN_W25,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
SW[5],Unknown,PIN_V25,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
SW[6],Unknown,PIN_AC28,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
SW[7],Unknown,PIN_AD30,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
SW[8],Unknown,PIN_AC29,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
SW[9],Unknown,PIN_AA30,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
LEDR[0],Unknown,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Unknown,PIN_AB23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Unknown,PIN_AC23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Unknown,PIN_AD24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Unknown,PIN_AG25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Unknown,PIN_AF25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Unknown,PIN_AE24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Unknown,PIN_AF24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Unknown,PIN_AB22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Unknown,PIN_AC22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Unknown,PIN_W17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Unknown,PIN_V18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Unknown,PIN_AG17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Unknown,PIN_AG16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Unknown,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Unknown,PIN_AG18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Unknown,PIN_AH18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Unknown,PIN_AF16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Unknown,PIN_V16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Unknown,PIN_AE16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Unknown,PIN_AD17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Unknown,PIN_AE18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Unknown,PIN_AE17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Unknown,PIN_V17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Unknown,PIN_AA21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Unknown,PIN_AB17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Unknown,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Unknown,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Unknown,PIN_Y18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Unknown,PIN_AF18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Unknown,PIN_W16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Unknown,PIN_Y19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Unknown,PIN_W19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Unknown,PIN_AD19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Unknown,PIN_AA20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Unknown,PIN_AC20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Unknown,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Unknown,PIN_AD20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Unknown,PIN_AD21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Unknown,PIN_AG22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Unknown,PIN_AE22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Unknown,PIN_AE23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Unknown,PIN_AG23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Unknown,PIN_AF23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Unknown,PIN_AH22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Unknown,PIN_AF21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Unknown,PIN_AG21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Unknown,PIN_AF20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Unknown,PIN_AG20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Unknown,PIN_AE19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Unknown,PIN_AF19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Unknown,PIN_AB21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Unknown,PIN_AK14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Unknown,PIN_AH14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Unknown,PIN_AG15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Unknown,PIN_AE14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Unknown,PIN_AB15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Unknown,PIN_AC14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Unknown,PIN_AD14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Unknown,PIN_AF15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Unknown,PIN_AH15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Unknown,PIN_AG13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Unknown,PIN_AG12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Unknown,PIN_AH13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Unknown,PIN_AJ14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Unknown,PIN_AF13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Unknown,PIN_AJ12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Unknown,PIN_AF11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Unknown,PIN_AK13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Unknown,PIN_AH12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Unknown,PIN_AG11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Unknown,PIN_AK6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Unknown,PIN_AJ7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Unknown,PIN_AK7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Unknown,PIN_AK8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Unknown,PIN_AK9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Unknown,PIN_AG10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Unknown,PIN_AK11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Unknown,PIN_AJ11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Unknown,PIN_AH10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Unknown,PIN_AJ10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Unknown,PIN_AJ9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Unknown,PIN_AH9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Unknown,PIN_AH8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Unknown,PIN_AH7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Unknown,PIN_AJ6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Unknown,PIN_AJ5,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Unknown,PIN_AB13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Unknown,PIN_AE13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Unknown,PIN_AK12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Unknown,PIN_AA13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_CLK27,Unknown,PIN_AC18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[0],Unknown,PIN_AG27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[1],Unknown,PIN_AF28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[2],Unknown,PIN_AE28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[3],Unknown,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[4],Unknown,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[5],Unknown,PIN_AD27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[6],Unknown,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[7],Unknown,PIN_AD25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_HS,Unknown,PIN_AH28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_RESET_N,Unknown,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
TD_VS,Unknown,PIN_AG28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_BLANK_N,Unknown,PIN_AK22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[0],Unknown,PIN_AJ21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Unknown,PIN_AJ20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Unknown,PIN_AH20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Unknown,PIN_AJ19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[4],Unknown,PIN_AH19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[5],Unknown,PIN_AJ17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[6],Unknown,PIN_AJ16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[7],Unknown,PIN_AK16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_CLK,Unknown,PIN_AK21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Unknown,PIN_AK26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Unknown,PIN_AJ25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Unknown,PIN_AH25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Unknown,PIN_AK24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[4],Unknown,PIN_AJ24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[5],Unknown,PIN_AH24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[6],Unknown,PIN_AK23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[7],Unknown,PIN_AH23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Unknown,PIN_AK19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Unknown,PIN_AK29,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Unknown,PIN_AK28,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Unknown,PIN_AK27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Unknown,PIN_AJ27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[4],Unknown,PIN_AH27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[5],Unknown,PIN_AF26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[6],Unknown,PIN_AG26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[7],Unknown,PIN_AJ26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_SYNC_N,Unknown,PIN_AJ22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Unknown,PIN_AK18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCDAT,Unknown,PIN_AJ29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_AH29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_BCLK,Unknown,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACDAT,Unknown,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACLRCK,Unknown,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_XCK,Unknown,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Unknown,PIN_AB25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Unknown,PIN_AC25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Unknown,PIN_AA25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Unknown,PIN_AB26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_CONVST,Unknown,PIN_Y21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DIN,Unknown,PIN_W22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DOUT,Unknown,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCLK,Unknown,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SCLK,Unknown,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SDAT,Unknown,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_RXD,Unknown,PIN_W20,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_TXD,Unknown,PIN_W21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADA_DCO,Unknown,PIN_H15,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[0],Unknown,PIN_E2,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[1],Unknown,PIN_E3,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[2],Unknown,PIN_C4,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[3],Unknown,PIN_D5,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[4],Unknown,PIN_C5,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[5],Unknown,PIN_D6,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[6],Unknown,PIN_F6,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[7],Unknown,PIN_G7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[8],Unknown,PIN_D7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[9],Unknown,PIN_E8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[10],Unknown,PIN_A8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[11],Unknown,PIN_A9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[12],Unknown,PIN_C9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_D[13],Unknown,PIN_C10,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_OE,Unknown,PIN_D4,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_OR,Unknown,PIN_E4,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADA_SPI_CS,Unknown,PIN_C3,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_DCO,Unknown,PIN_G15,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[0],Unknown,PIN_H7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[1],Unknown,PIN_J7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[2],Unknown,PIN_K8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[3],Unknown,PIN_K7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[4],Unknown,PIN_J9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[5],Unknown,PIN_J10,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[6],Unknown,PIN_F10,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[7],Unknown,PIN_G10,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[8],Unknown,PIN_J12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[9],Unknown,PIN_K12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[10],Unknown,PIN_G11,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[11],Unknown,PIN_G12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[12],Unknown,PIN_H12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_D[13],Unknown,PIN_H13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_OE,Unknown,PIN_G8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_OR,Unknown,PIN_H8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
ADB_SPI_CS,Unknown,PIN_F9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AD_SCLK,Unknown,PIN_F8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AD_SDIO,Unknown,PIN_B3,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_BCLK,Unknown,PIN_B13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_DIN,Unknown,PIN_C12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_DOUT,Unknown,PIN_H14,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_LRCIN,Unknown,PIN_B11,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_LRCOUT,Unknown,PIN_G13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_SPI_CS,Unknown,PIN_A13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
AIC_XCLK,Unknown,PIN_F15,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
CLKIN1,Unknown,PIN_J14,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
CLKOUT0,Unknown,PIN_AD29,5B,B5B_N0,2.5 V,,,,,,,,,,,,,
DA[0],Unknown,PIN_B8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[1],Unknown,PIN_C8,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[2],Unknown,PIN_B7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[3],Unknown,PIN_C7,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[4],Unknown,PIN_A5,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[5],Unknown,PIN_A6,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[6],Unknown,PIN_A3,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[7],Unknown,PIN_A4,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[8],Unknown,PIN_B1,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[9],Unknown,PIN_B2,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[10],Unknown,PIN_C2,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[11],Unknown,PIN_D2,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[12],Unknown,PIN_D1,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DA[13],Unknown,PIN_E1,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[0],Unknown,PIN_E13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[1],Unknown,PIN_F13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[2],Unknown,PIN_B12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[3],Unknown,PIN_C13,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[4],Unknown,PIN_D10,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[5],Unknown,PIN_D11,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[6],Unknown,PIN_D12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[7],Unknown,PIN_E12,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[8],Unknown,PIN_D9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[9],Unknown,PIN_E9,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
DB[10],Unknown,PIN_B5,8A,B8A_N0,2.5 V,,,,,,,,,,,,,
